               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.052515,            0.032762,                   0,             0.68231,             0.66667,             0.67743,             0.32456,            0.047707,            0.025014,                   0,           0.0032361,           0.0032361,            0.029236
                  39,            0.055189,            0.035932,                   0,             0.85165,             0.58883,              0.6881,             0.37664,            0.045805,            0.025154,                   0,           0.0031757,           0.0031757,            0.027276
                  40,            0.046158,            0.031195,                   0,             0.72646,             0.61294,             0.64689,             0.27422,             0.04618,            0.025195,                   0,            0.003112,            0.003112,            0.025312
                  41,            0.056283,            0.034764,                   0,             0.72646,             0.61294,             0.64689,             0.27422,             0.04618,            0.025195,                   0,           0.0030457,           0.0030457,            0.023346
                  42,            0.053121,             0.03757,                   0,             0.60854,             0.63782,             0.62561,             0.25193,            0.047523,            0.024874,                   0,           0.0029775,           0.0029775,            0.021377
                  43,             0.05088,            0.031264,                   0,             0.71418,             0.64071,             0.66741,             0.34303,            0.044261,            0.025173,                   0,           0.0029081,           0.0029081,            0.019408
                  44,            0.047315,            0.034747,                   0,             0.59978,             0.61538,             0.63142,               0.224,            0.047195,            0.025106,                   0,           0.0028382,           0.0028382,            0.017438
                  45,             0.05114,            0.042305,                   0,             0.59978,             0.61538,             0.63142,               0.224,            0.047195,            0.025106,                   0,           0.0027688,           0.0027688,            0.015469
                  46,            0.049779,            0.035466,                   0,             0.74927,             0.69231,             0.70884,             0.36253,             0.04412,            0.025072,                   0,           0.0027005,           0.0027005,              0.0135
                  47,            0.050917,            0.037351,                   0,             0.73536,             0.51282,             0.59301,             0.20634,            0.048786,            0.024287,                   0,           0.0026341,           0.0026341,            0.011534
                  48,            0.051149,            0.028466,                   0,             0.73536,             0.51282,             0.59301,             0.20634,            0.048786,            0.024287,                   0,           0.0025705,           0.0025705,           0.0095705
                  49,            0.048973,            0.034068,                   0,             0.80547,              0.7432,             0.75975,             0.43105,            0.042816,            0.024476,                   0,           0.0025104,           0.0025104,           0.0076104
                  50,            0.051057,            0.032408,                   0,             0.80547,              0.7432,             0.75975,             0.43105,            0.042816,            0.024476,                   0,           0.0024547,           0.0024547,           0.0056547
                  51,             0.04842,            0.039807,                   0,              0.8527,             0.74359,              0.7774,             0.44676,            0.042381,            0.024274,                   0,           0.0024043,           0.0024043,           0.0037043
                  52,            0.051137,            0.033947,                   0,             0.93071,             0.69231,             0.76971,             0.37027,            0.044123,            0.024247,                   0,           0.0023458,           0.0023458,           0.0023458
                  53,            0.049234,            0.031781,                   0,             0.93071,             0.69231,             0.76971,             0.37027,            0.044123,            0.024247,                   0,           0.0023458,           0.0023458,           0.0023458
                  54,            0.045284,              0.0356,                   0,             0.82283,             0.71459,             0.77244,             0.44975,            0.041184,             0.02435,                   0,           0.0022657,           0.0022657,           0.0022657
                  55,            0.048654,            0.037707,                   0,             0.82283,             0.71459,             0.77244,             0.44975,            0.041184,             0.02435,                   0,           0.0021958,           0.0021958,           0.0021958
                  56,            0.045832,            0.033723,                   0,             0.87875,             0.74359,             0.78832,             0.47979,            0.041345,            0.024117,                   0,           0.0021363,           0.0021363,           0.0021363
                  57,            0.045741,            0.031732,                   0,             0.84113,             0.74359,             0.79448,             0.40179,            0.041081,            0.024359,                   0,           0.0020874,           0.0020874,           0.0020874
                  58,            0.045681,            0.036549,                   0,             0.84113,             0.74359,             0.79448,             0.40179,            0.041081,            0.024359,                   0,           0.0020492,           0.0020492,           0.0020492
                  59,            0.041249,            0.034511,                   0,             0.90615,             0.74274,             0.81385,              0.4106,            0.039246,            0.024174,                   0,           0.0020219,           0.0020219,           0.0020219
